Player,ano,GPos40,cp1,altura,peso,40yd
Matt Wilhelm,2003,g2,-1.0620498152153,193.04,111.13004,4.8
David Pittman,2006,g3,29.7330231344696,180.34,82.553744,4.44
Luke Wattenberg,2022,g1,-24.8336701156422,193.04,135.624008,5.2
Marc Tyler,2012,g3,13.4450610767697,180.34,99.336648,4.7
Marlon Humphrey,2017,g3,22.5174920867359,182.88,89.357624,4.41
Adam Bishop,2008,g2,-2.99499857396529,195.58,112.490816,4.98
B.J. Hill,2018,g1,-30.116252404626,193.04,141.067112,4.99
Ronald Fields,2005,g1,-29.7720764131152,187.96,141.974296,5.24
Sean Harlow,2017,g1,-26.5945308786368,193.04,137.438376,5.15
Lito Sheppard,2002,g3,25.0627440319899,177.8,87.996848,4.47
Rey Maualuga,2009,g2,-1.59830420520181,187.96,112.944408,4.91
Justin Britt,2014,g1,-37.5038714481151,198.12,147.4174,5.19
Coy Wire,2002,g3,17.2349097977521,182.88,94.800728,4.56
Ryan Bartholomew,2011,g1,-24.317406128376,185.42,136.984784,4.93
Jason Brown,2005,g1,-30.3843795996193,190.5,141.974296,5.4
Ben Wilkerson,2005,g1,-24.2213669291382,190.5,135.624008,5.46
Ryan Hoag,2003,g3,19.9722401414819,187.96,90.7184,4.51
Leon Robinson,2005,g1,-31.4368979768719,193.04,142.427888,5.22
Hayden Hurst,2018,g2,-3.26312576895853,193.04,113.398,4.67
C.J. Prosise,2016,g3,12.392542699517,182.88,99.79024,4.48
Baylon Spector,2022,g2,6.66974521978461,182.88,105.686936,4.6
Daryl Washington,2010,g2,6.76578441902247,187.96,104.32616,4.58
Chris McGaha,2010,g3,20.1443281372373,185.42,91.171992,4.52
Donte' Stallworth,2002,g3,22.5174920867359,182.88,89.357624,4.22
Amba Etta-Tawo,2017,g3,17.0628218019967,185.42,94.347136,4.49
Jaylen Watkins,2014,g3,24.4504408454859,180.34,87.996848,4.41
Blair White,2010,g3,16.0103034247441,187.96,94.800728,4.49
Xavier Cooper,2015,g1,-21.5800757846463,190.5,132.902456,4.86
Dominique Byrd,2006,g2,-4.85189853619773,190.5,115.66596,4.79
Stephen Guidry,2020,g3,18.9197217642292,190.5,91.171992,4.47
Brandon Jennings,2000,g3,22.0772768959873,182.88,89.811216,4.51
Titus Davis,2015,g3,22.3454040909805,185.42,88.904032,4.51
Chris Steele,2022,g3,26.9196439942224,182.88,84.821704,4.48
Blair Brown,2017,g2,5.08097245254542,180.34,107.954896,4.65
Chris Faulk,2013,g1,-39.532859406103,195.58,150.138952,5.08
Brandon Harrison,2007,g3,8.08642999126841,187.96,102.965384,4.58
A'Shawn Robinson,2016,g1,-28.3553916416314,193.04,139.252744,5.2
Latef Grim,2001,g3,27.0917319899778,180.34,85.275296,4.6
Ken Shackleford,2007,g1,-35.5709226893652,195.58,146.056624,5.3
Dorian Brooks,2010,g1,-26.6905700778747,187.96,138.799152,5.15
Ernest Shazor,2005,g3,6.42160842751169,193.04,103.418976,4.65
Duane Brown,2008,g1,-31.8771131676206,193.04,142.88148,5.07
Scott Orndoff,2017,g2,-5.19607452770852,195.58,114.758776,4.84
Tanzel Smart,2017,g1,-21.6761149838842,185.42,134.263232,5.24
Darius West,2019,g3,18.2874281750048,180.34,94.347136,4.39
Alan Reuber,2004,g1,-36.6234410666178,198.12,146.510216,5.49
Leo Chenal,2022,g2,-2.6508225824545,190.5,113.398,4.53
Justin Gilbert,2014,g3,20.3164161329927,182.88,91.625584,4.37
Brandon Saine,2011,g3,13.0048458860211,180.34,99.79024,4.4
Marcel Shipp,2001,g3,12.1244155045238,180.34,100.697424,4.71
Trent Murphy,2014,g2,-3.87542895546258,195.58,113.398,4.86
Peyton Hendershot,2022,g2,-3.26312576895853,193.04,113.398,4.8
Andrew Whitworth,2006,g1,-42.078111351357,200.66,151.499728,5.16
Lloyd Cushenberry,2020,g1,-29.9441644088706,190.5,141.520704,5.27
Jabaal Sheard,2011,g2,-8.81383525293556,190.5,119.748288,4.68
Terry Poole,2015,g1,-28.9676948281355,195.58,139.252744,5.09
Ricky Hall,2000,g3,17.33094899699,187.96,93.439952,4.52
