Player,ano,GPos3CONE,cp1,altura,peso,3Cone
Edmund Kugbila,2013,g10,-32.7575435491179,193.04,143.788664,7.72
Jaire Alexander,2018,g12,25.3308712269832,180.34,87.089664,6.71
Max Scharping,2019,g10,-38.3843018296124,198.12,148.324584,7.77
Robert Sands,2011,g12,11.2639755257468,193.04,98.429464,7.03
Dontae Johnson,2014,g12,19.9722401414819,187.96,90.7184,6.82
T.J. Clemmings,2015,g10,-29.8481252096328,195.58,140.159928,7.68
Nico Siragusa,2017,g10,-33.6379739306152,193.04,144.695848,7.71
Hanik Milligan,2003,g12,19.5320249507332,187.96,91.171992,7.11
Carlos Francis,2004,g12,23.9141864554994,175.26,89.811216,6.97
Bruce Campbell,2010,g10,-32.66150434988,198.12,142.427888,7.58
Mkristo Bruce,2007,g11,-12.4116055754423,198.12,121.562656,7.38
Ryan Winterswyk,2011,g11,-11.1869992024342,193.04,121.562656,7.01
Cory Rodgers,2006,g12,26.4794288034737,182.88,85.275296,7.37
Cyrus Gray,2012,g11,19.7801617430062,177.8,93.439952,7.17
Michael Turner,2004,g11,6.1334908297981,177.8,107.501304,7.5
Marcus Williams,2017,g12,19.7041129464886,185.42,91.625584,6.85
Austin Hooper,2016,g11,-5.02398653195312,193.04,115.212368,7
Arnaz Battle,2003,g12,13.1008850852589,185.42,98.429464,6.74
Will Sutton,2014,g10,-24.1453181326207,182.88,137.438376,7.93
Nephi Sewell,2022,g11,9.75125155502514,182.88,102.511792,7.01
Shaquill Griffin,2017,g12,23.8381376589818,182.88,87.996848,6.87
Bobby Purify,2005,g11,16.7946946070035,182.88,95.25432,7.22
Skyy Moore,2022,g12,24.6225288412413,177.8,88.45044,7.13
Henre Toliver,2018,g12,27.1877711892156,185.42,83.91452,7.01
Eric Smith,2006,g12,16.6226066112481,185.42,94.800728,6.89
Montavious Stanley,2006,g10,-29.7720764131152,187.96,141.974296,8.06
Roc Alexander,2004,g12,28.4123775622237,180.34,83.91452,6.97
Mansfield Wrotto,2007,g10,-32.1452403626138,190.5,143.788664,8.34
Kenny Hilliard,2015,g11,9.75125155502514,182.88,102.511792,7.17
Carlos Wright,2004,g12,19.26389775574,185.42,92.079176,7.12
David McMillan,2005,g11,-7.93340487143826,190.5,118.841104,7.11
