Player,ano,GPosBJ,cp1,altura,peso,Broad Jump
Robert Thomas,2002,g8,8.4306059827792,182.88,103.872568,294.64
Jerry Johnson,2000,g9,-19.7431662251342,182.88,132.902456,259.08
Dwayne Pierce,2002,g9,-32.4133675576071,187.96,144.695848,236.22
Seth McKinney,2002,g9,-24.6615821198868,190.5,136.0776,266.7
Odell Thurman,2005,g8,6.66974521978461,182.88,105.686936,289.56
Quinton Spotwood,2000,g7,28.8525927529724,180.34,83.460928,312.42
Marquez Callaway,2020,g7,18.3834673742427,185.42,92.98636,320.04
Jester Weah,2018,g7,15.1298730432468,187.96,95.707912,327.66
Ken Hamlin,2003,g7,16.0103034247441,187.96,94.800728,297.18
Kahlil McKenzie,2018,g9,-32.049201163376,195.58,142.427888,266.7
T.C. Taylor,2002,g7,10.3835451442495,193.04,99.336648,289.56
Logan Wilson,2020,g7,1.92341732078737,187.96,109.315672,307.34
Keith Adams,2001,g8,13.4450610767697,180.34,99.336648,264.16
Tango McCauley,2002,g9,-26.4224428828814,190.5,137.891968,264.16
Wesley Johnson,2014,g9,-24.565542920649,195.58,134.716824,281.94
Ugo Chinasa,2011,g8,-10.0384416259436,195.58,119.748288,297.18
Ryan Carrethers,2014,g9,-39.7249378045787,185.42,152.860504,223.52
Barry Richardson,2008,g9,-35.9150986808759,200.66,145.14944,254
Derek McCoy,2004,g7,14.9577850474914,190.5,95.25432,325.12
Marcus Dixon,2008,g8,-21.7521637804017,193.04,132.448864,281.94
Chris Culliver,2011,g7,21.6370617052386,182.88,90.264808,312.42
Deandre Baker,2019,g7,24.8906560362345,180.34,87.543256,299.72
Talman Gardner,2003,g7,18.3834673742427,185.42,92.98636,294.64
Brian Rolle,2011,g8,9.65521235578728,177.8,103.872568,292.1
Phil Loadholt,2009,g9,-41.8099841563637,203.2,150.592544,241.3
Garry Johnson,2003,g9,-19.8192150216517,190.5,131.088088,246.38
Abraham Elimimian,2005,g7,26.8236047949845,177.8,86.18248,307.34
Phillip Gaines,2014,g7,24.2783528497305,182.88,87.543256,309.88
Danny Pinter,2020,g9,-27.9151764508828,193.04,138.799152,279.4
Aaron Davis,2015,g8,10.1914667457738,182.88,102.0582,271.78
Ziggy Ansah,2013,g8,-13.1199479611842,195.58,122.923432,299.72
Sheldrick Redwine,2019,g7,22.9577072774845,182.88,88.904032,330.2
Christian Thompson,2012,g7,16.3544794162549,182.88,95.707912,309.88
Doug Datish,2007,g9,-26.1543156878882,193.04,136.984784,259.08
Jason Pociask,2006,g8,-9.69426563443285,190.5,120.655472,292.1
Jeremy Childs,2009,g7,21.19684651449,182.88,90.7184,292.1
John Owens,2002,g8,-9.25405044368421,190.5,120.20188,297.18
Adolphus Washington,2016,g9,-25.1017973106355,190.5,136.531192,251.46
Brian Robison,2007,g8,-6.61275929919232,190.5,117.480328,307.34
Margin Hooks,2001,g7,25.7710864177318,180.34,86.636072,294.64
Kris O'Dowd,2011,g9,-27.0347460693855,193.04,137.891968,266.7
Robert Geathers,2004,g8,-11.8953415881761,190.5,122.923432,284.48
Tyrann Mathieu,2013,g7,29.1967687444831,175.26,84.368112,297.18
Jordan Willis,2017,g8,-5.46420172270177,193.04,115.66596,317.5
Dennis Johnson,2002,g8,-7.39715048145176,195.58,117.026736,302.26
Rashad Fenton,2019,g7,24.8906560362345,180.34,87.543256,297.18
Buster Davis,2007,g8,5.86536363480485,175.26,108.408488,264.16
Jahri Evans,2006,g9,-32.3173283583692,193.04,143.335072,241.3
Yamon Figurs,2007,g7,33.2547446604588,180.34,78.925008,312.42
Charlie Woerner,2020,g8,-1.2341378109707,195.58,110.676448,304.8
Alfred Morris,2012,g8,14.0573642632737,177.8,99.336648,297.18
Nate Dwyer,2002,g9,-30.3843795996193,190.5,141.974296,261.62
Jalen Collins,2015,g7,19.26389775574,185.42,92.079176,314.96
Tyler Boyd,2016,g7,21.9051889002319,185.42,89.357624,302.26
Tre Jackson,2015,g9,-38.4803410288503,193.04,149.68536,243.84
Chip Vaughn,2009,g7,11.3400243222643,185.42,100.243832,317.5
Nate Ilaoa,2007,g8,3.22407249031298,175.26,111.13004,261.62
Jeb Terry,2004,g9,-31.6089859726273,195.58,141.974296,266.7
Kalvin McRae,2008,g8,21.7131105017561,175.26,92.079176,276.86
Alfonzo Dennard,2012,g7,20.6605921245034,177.8,92.532768,307.34
Austin Collie,2009,g7,20.5845433279859,185.42,90.7184,304.8
Garret Dooley,2018,g8,-1.7703922009572,190.5,112.490816,307.34
Josh Huff,2014,g7,19.1678585565021,180.34,93.439952,294.64
Jermaine Johnson II,2022,g8,-5.63628971845717,195.58,115.212368,317.5
Arthur Moats,2010,g8,0.946947740052213,182.88,111.583632,309.88
Jordan Thomas,2018,g8,-10.4786568166923,195.58,120.20188,281.94
Derrick Harvey,2008,g8,-13.1199479611842,195.58,122.923432,287.02
Robert Ferguson,2001,g7,18.3834673742427,185.42,92.98636,304.8
Jordan Carstens,2004,g9,-28.0872644466382,195.58,138.34556,269.24
Dre'Mont Jones,2019,g8,-16.2974934956625,190.5,127.459352,279.4
Bob Sanders,2004,g7,21.8851984975115,172.72,92.532768,325.12
Kevin White,2015,g7,30.5174143167291,175.26,83.007336,307.34
Victor Hobson,2003,g8,-1.69434340443967,182.88,114.305184,297.18
Maurice Evans,2009,g8,-11.9913807874139,185.42,124.284208,271.78
Roy Williams,2002,g7,12.8327578902657,182.88,99.336648,292.1
Brett Romberg,2003,g9,-21.8482029796396,187.96,133.80964,251.46
Lil'Jordan Humphrey,2019,g7,14.3454818609873,193.04,95.25432,302.26
Justin Smith,2001,g8,-10.7467840116855,193.04,121.109064,297.18
