Player,ano,GPosBench,cp1,altura,peso,Bench
Nick Watkins,2008,g5,11.0718971272711,182.88,101.151016,17
Bruce Carter,2011,g5,2.5357205072914,185.42,109.315672,25
Mark LeGree,2011,g6,17.4069977935075,180.34,95.25432,21
Marcus Hudson,2006,g6,23.2258344724778,185.42,87.996848,11
Alvin Bowen,2008,g5,10.459593940767,185.42,101.151016,15
Darius Slayton,2019,g6,24.9866952354724,185.42,86.18248,11
Travis Laboy,2004,g5,-8.37362006218691,190.5,119.294696,35
Cobi Hamilton,2013,g6,14.6896578524981,187.96,96.161504,11
Daryl Smith,2004,g5,5.00492365602788,187.96,106.140528,24
Justin Coleman,2015,g6,28.4123775622237,180.34,83.91452,20
Bo Smith,2007,g6,25.5029592227386,177.8,87.543256,14
Justin Tryon,2008,g6,27.4359079814886,175.26,86.18248,21
Chauncey Davis,2005,g5,-12.1634687831693,187.96,123.830616,22
Chris Harrington,2008,g5,-9.4261384394396,193.04,119.748288,21
Greg Reid,2013,g6,28.0482111679926,172.72,86.18248,10
D.J. Parker,2008,g6,25.3308712269832,180.34,87.089664,19
Sean McKeon,2020,g5,-0.353707429473402,195.58,109.769264,18
Chris Cooley,2004,g5,-9.25405044368421,190.5,120.20188,22
Zion Johnson,2022,g4,-29.9441644088706,190.5,141.520704,32
Chris Watt,2014,g4,-29.0637340273733,190.5,140.61352,29
Logan Wilson,2020,g5,1.92341732078737,187.96,109.315672,21
Chidobe Awuzie,2017,g6,20.3164161329927,182.88,91.625584,16
Tyler Larsen,2014,g4,-30.9966827861233,193.04,141.974296,36
Caleb Miller,2004,g5,8.79477237701032,190.5,101.604608,23
Solomon Thomas,2017,g5,-12.7757719696734,190.5,123.830616,30
Javarris Williams,2009,g6,12.9088066867832,175.26,101.151016,25
Keith Willis,2004,g5,-8.88988404945309,198.12,117.93392,21
Eric Downing,2001,g4,-25.5420125013841,190.5,136.984784,27
Mekale McKay,2016,g6,15.6661274332333,193.04,93.893544,12
Damien Williams,2014,g6,12.1244155045238,180.34,100.697424,16
Garrett Wolfe,2007,g6,30.4213751174912,170.18,84.368112,22
Jonathan Brown,2014,g5,4.46866926604138,182.88,107.954896,16
Richard Newsome,2001,g6,20.4885041287481,180.34,92.079176,14
Glen Coffee,2009,g6,17.2349097977521,182.88,94.800728,24
Markus Bailey,2020,g5,5.78931483828732,182.88,106.59412,15
Tony Scott,2000,g6,25.5029592227386,177.8,87.543256,11
Bernard Robertson,2001,g4,-28.183303645876,190.5,139.706336,19
Kerby Joseph,2022,g6,19.26389775574,185.42,92.079176,18
Jeff Shoate,2004,g6,27.2638199857332,177.8,85.728888,12
Cordrea Tankersley,2017,g6,21.0247585187346,185.42,90.264808,13
Nick Polk,2010,g6,16.9667826027589,180.34,95.707912,14
Nat Dorsey,2004,g4,-36.7955290623732,200.66,146.056624,26
Steve Edwards,2002,g4,-50.0980239840705,195.58,161.02516,20
Roc Carmichael,2011,g6,25.9431744134872,177.8,87.089664,13
George Winn,2013,g6,14.4975794540224,177.8,98.883056,22
Giorgio Newberry,2016,g5,-19.2829606316652,195.58,129.27372,20
Jamey Richard,2008,g4,-23.6851125391517,195.58,133.80964,22
Colin McCarthy,2011,g5,3.85636607953733,185.42,107.954896,23
Cordell Volson,2022,g4,-33.1017195406287,198.12,142.88148,25
Von Miller,2011,g5,-0.889961819459908,190.5,111.583632,21
D.J. Chark,2018,g6,19.8001521457265,190.5,90.264808,16
Richie Incognito,2005,g4,-26.8626580736301,190.5,138.34556,29
Josh Thomas,2011,g6,26.3833896042359,177.8,86.636072,13
Donte Nicholson,2005,g6,15.3019610390022,185.42,96.161504,18
Tommy Sweeney,2019,g5,-3.70334095970718,193.04,113.851592,17
Wyatt Ray,2019,g5,-5.73232891769503,190.5,116.573144,25
Jordan White,2012,g6,17.6751249885008,182.88,94.347136,14
Johnny Dingle,2008,g5,-8.02944407067613,185.42,120.20188,23
Jeremy Clark,2007,g4,-28.0112156501206,187.96,140.159928,29
William Joseph,2003,g4,-29.4079100188841,195.58,139.706336,29
Chris Jones,2018,g6,23.3979224682332,182.88,88.45044,14
J.K. Dobbins,2020,g6,19.0718193572643,175.26,94.800728,23
Garth Gerhart,2012,g4,-25.638051700622,185.42,138.34556,25
