Player,Pos,School,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano
John Abraham,OLB,South Carolina,6-4,252,4.55,,,,,,2000
Shaun Alexander,RB,Alabama,6-0,218,4.58,,,,,,2000
Darnell Alford,OT,Boston Col.,6-4,334,5.56,25,23,94,8.48,4.98,2000
Kyle Allamon,TE,Texas Tech,6-2,253,4.97,29,,104,7.29,4.49,2000
Rashard Anderson,CB,Jackson State,6-2,206,4.55,34,,123,7.18,4.15,2000
Jake Arians,K,Ala-Birmingham,5-10,202,,,,,,,2000
LaVar Arrington,OLB,Penn State,6-3,250,4.53,,,,,,2000
Corey Atkins,OLB,South Carolina,6-0,237,4.72,31,21,112,7.96,4.39,2000
Kyle Atteberry,K,Baylor,6-0,167,,,,,,,2000
Reggie Austin,CB,Wake Forest,5-9,175,4.44,35,17,119,7.03,4.14,2000
John Baker,P,North Texas,6-3,227,,,,,,,2000
Mark Baniewicz,OT,Syracuse,6-6,312,5.34,28,20,96,7.72,4.73,2000
Rashidi Barnes,S,Colorado,6-0,208,4.62,35,10,114,6.92,4.32,2000
David Barrett,CB,Arkansas,5-10,199,4.44,37.5,16,116,6.81,4.04,2000
William Bartee,CB,Oklahoma,6-1,192,4.43,38.5,,124,6.7,3.99,2000
Andrew Bayes,P,East Carolina,6-2,200,,,,,,,2000
Terrance Beadles,OG,Ark-Pine Bluff,6-3,312,5.19,,29,,,,2000
Robert Bean,CB,Mississippi State,5-11,178,4.5,34.5,,122,6.87,4.2,2000
Anthony Becht,TE,West Virginia,6-6,270,4.78,33.5,,123,6.94,4.08,2000
Matt Beck,ILB,California,6-3,234,4.65,,,,,,2000
Rogers Beckett,S,Marshall,6-1,207,4.62,39.5,15,119,6.48,4.29,2000
Brad Bedell,OG,Colorado,6-4,302,5.07,31.5,17,103,7.76,4.58,2000
Marcus Bell,ILB,Arizona,6-2,237,4.78,31.5,21,111,7.17,4.33,2000
Gary Berry,S,Ohio State,5-11,204,4.55,,,,,,2000
Michael Boireau,DE,Miami (FL),6-4,274,5.09,29,26,105,7.68,4.49,2000
Matt Bowen,S,Iowa,6-1,201,4.49,33,12,115,7.06,4.09,2000
Carl Bradley,DT,Virginia Tech,6-2,300,5.03,,,,,,2000
Tom Brady,QB,Michigan,6-4,211,5.28,24.5,,99,7.2,4.38,2000
Robert Brannon,DT,Iowa State,6-4,309,5.19,28.5,28,99,7.82,4.7,2000
Keith Brown,RB,UCLA,5-11,216,4.66,30,,117,6.64,4.08,2000
Demario Brown,RB,Utah State,6-0,217,4.72,31,,107,7.17,4.39,2000
Courtney Brown,DE,Penn State,6-5,269,4.78,,,,,,2000
Mike Brown,S,Nebraska,5-10,204,4.59,36,14,116,6.93,4.01,2000
Ralph Brown,CB,Nebraska,5-10,185,4.55,,10,,,,2000
Travis Brown,QB,Northern Arizona,6-3,218,5.01,29,,101,7.54,4.87,2000
Lamont Bryant,DE,Notre Dame,6-3,260,4.91,,17,,,,2000
Marc Bulger,QB,West Virginia,6-2,208,4.97,,,100,7.46,4.34,2000
Keith Bulluck,OLB,Syracuse,6-3,244,4.47,38,,119,7.33,4.13,2000
Bill Burke,QB,Michigan State,6-4,206,5.03,28.5,,107,7.46,4.42,2000
Plaxico Burress,WR,Michigan State,6-5,231,4.59,33,,115,,,2000
David Byrd,CB,Syracuse,5-11,202,4.53,36,14,117,7.18,4.39,2000
Trung Canidate,RB,Arizona,5-11,193,4.41,,18,,,,2000
Cooper Carlisle,OG,Florida,6-5,297,5.16,31,28,100,7.82,4.48,2000
Giovanni Carmazzi,QB,Hofstra,6-3,224,4.74,36.5,,119,6.94,4.23,2000
Leonardo Carson,DE,Auburn,6-1,283,5.06,28,22,106,7.82,4.75,2000
Tyrone Carter,S,Minnesota,5-8,190,4.5,41,16,121,6.75,4.19,2000
Kwame Cavil,WR,Texas,6-2,208,4.54,39.5,,118,,,2000
Chris Chaloupka,QB,SMU,6-2,216,4.96,,,,,,2000
Doug Chapman,RB,Marshall,5-10,215,4.56,38.5,16,128,6.84,4.2,2000
Ike Charlton,CB,Virginia Tech,5-11,205,4.47,,16,126,,,2000
Chrys Chukwuma,RB,Arkansas,6-1,232,4.56,,,115,,,2000
Joey Chustz,OT,Louisiana Tech,6-7,304,5.08,31,28,103,7.65,4.65,2000
Pedro Cirino,S,Boston Col.,5-11,197,4.59,,,,,,2000
John Saint Clair,C,Virginia,6-5,302,5.2,,25,,,,2000
Kendrick Clancy,DT,Mississippi,6-1,283,5.25,27.5,25,108,7.98,4.65,2000
Travis Claridge,OG,USC,6-5,303,5.15,31.5,29,100,7.77,4.86,2000
Danny Clark,ILB,Illinois,6-2,245,4.75,,20,,,,2000
Chad Clifton,OT,Tennessee,6-5,334,5.05,30.5,24,102,7.58,4.73,2000
Chris Cole,WR,Texas A&M,6-0,191,4.37,37.5,,125,6.76,4.09,2000
Chris Coleman,WR,North Carolina State,6-0,211,4.61,32.5,,110,6.79,4.1,2000
Cosey Coleman,OG,Tennessee,6-4,322,5.4,28,,101,8.15,4.97,2000
Laveranues Coles,WR,Florida State,5-11,192,4.41,34,,115,6.89,4.39,2000
Chris Combs,DT,Duke,6-5,286,5.16,,22,,,,2000
Kurth Connell,OT,Washington,6-4,291,5.49,33,27,103,8.14,4.84,2000
Rameel Connor,DE,Illinois,6-3,276,5,35.5,25,121,7.65,4.45,2000
D.J. Cooper,DT,Arkansas,6-3,277,5.22,28,,108,7.41,4.49,2000
Ashley Cooper,S,Mississippi State,5-10,208,4.67,,16,117,,,2000
Renard Cox,CB,Maryland,5-11,192,4.68,38,13,111,7.1,,2000
Casey Crawford,TE,Virginia,6-6,244,4.83,,18,,,,2000
Sedrick Curry,CB,Texas A&M,6-1,197,4.44,39,,125,6.34,3.94,2000
Chris Daniels,WR,Purdue,6-3,217,4.74,33,,115,7.2,4.24,2000
Brandon Daniels,WR,Oklahoma,5-10,211,4.54,,,,,,2000
Joe Dean Davenport,TE,Arkansas,6-7,268,5.06,30,13,108,7.33,4.67,2000
Darren Davis,RB,Iowa State,5-8,189,4.81,32,13,109,7.04,4.47,2000
Adam Davis,OG,Oklahoma State,6-4,309,5.66,26,,92,8.51,5,2000
JaJuan Dawson,WR,Tulane,6-1,199,4.55,34,,117,6.96,4.16,2000
Ron Dayne,RB,Wisconsin,5-11,259,4.65,,,,,,2000
Jerry DeLoach,DT,California,6-3,314,4.99,31.5,19,101,7.4,4.57,2000
Mike Derouselle,DT,Houston,6-2,314,5.28,27.5,27,96,7.67,4.8,2000
Na'il Diggs,OLB,Ohio State,6-4,231,4.66,,,,,,2000
Reuben Droughns,RB,Oregon,5-11,215,4.66,30,13,115,7.34,4.41,2000
Ron Dugans,WR,Florida State,6-1,206,4.58,,,117,,,2000
Deon Dyer,FB,North Carolina,5-11,260,4.99,28,,104,7.88,4.81,2000
Chris Edwards,OLB,Georgia Tech,6-5,226,4.65,,,,,,2000
Mario Edwards,CB,Florida State,6-0,191,4.46,,,120,,,2000
Shaun Ellis,DE,Tennessee,6-4,280,4.85,,,,,,2000
John Engelberger,DE,Virginia Tech,6-4,260,4.73,34,24,115,6.95,4.28,2000
Dwan Epps,ILB,Texas Southern,6-1,242,4.68,34.5,8,,,,2000
Matt Farmer,WR,Air Force,6-0,190,4.51,33,,108,6.63,3.94,2000
Danny Farmer,WR,UCLA,6-3,217,4.58,,,,,,2000
Kevin Feterik,QB,BYU,5-11,207,4.92,31,,106,7.3,4.45,2000
Chafie Fields,WR,Penn State,6-1,196,4.43,,,,,,2000
Aaron Fields,DE,Troy,6-4,243,4.76,34,22,115,7.51,4.56,2000
Zeron Flemister,TE,Iowa,6-4,249,4.72,37,14,116,6.92,4.16,2000
Erik Flowers,DE,Arizona State,6-4,271,4.75,33,24,114,7.21,4.15,2000
Derrick Foster,RB,Texas A&M-Kingsville,5-11,201,4.43,34.5,19,117,6.84,4.36,2000
Larry Foster,WR,LSU,5-10,198,4.55,37,,121,6.88,4.06,2000
John Frank,DE,Utah,6-4,280,4.78,37,32,117,7.07,4.27,2000
Bubba Franks,TE,Miami (FL),6-6,265,4.85,,,,,,2000
Todd Franz,S,Tulsa,6-1,199,4.55,,14,,,,2000
Arturo Freeman,S,South Carolina,6-0,188,4.5,35.5,14,124,6.91,4.38,2000
Byron Frisch,DE,BYU,6-4,281,4.73,34.5,31,114,7.2,4.41,2000
Mondriel Fulcher,FB,Miami (FL),6-3,253,4.85,27,18,116,7.46,4.52,2000
Trent Gamble,S,Wyoming,5-9,186,4.56,37,21,124,6.6,3.9,2000
Jason Gavadza,TE,Kent State,6-3,249,4.62,32.5,22,113,7.15,4.3,2000
Trevor Gaylor,WR,Miami (OH),6-3,199,4.56,37.5,,121,7.03,4.29,2000
Kabeer Gbaja-Biamila,OLB,San Diego State,6-4,243,4.65,34,21,120,6.9,4.28,2000
Sherrod Gideon,WR,Southern Miss,5-11,173,4.66,,,,,,2000
Ian Gold,OLB,Michigan,6-1,221,4.56,33,21,115,6.97,4.19,2000
Dwayne Goodrich,CB,Tennessee,5-11,195,4.45,,,,,,2000
Lamar Grant,CB,Duke,5-11,188,4.62,32,16,117,7.3,4.3,2000
Deon Grant,S,Tennessee,6-2,209,4.5,,15,,,,2000
Ernest Grant,DT,Ark-Pine Bluff,6-5,316,5.31,29.5,24,98,8,5.03,2000
Jonathan Gray,OT,Texas Tech,6-4,338,5.85,23,20,94,,,2000
Brian Gray,CB,BYU,6-1,214,4.94,33.5,19,116,7.38,4.24,2000
Barrett Green,OLB,West Virginia,6-0,233,4.56,36,22,120,,,2000
Mike Green,S,NW State (LA),6-0,189,4.53,38.5,,118,,4.2,2000
Mike Green,FB,Houston,6-0,253,4.78,28.5,25,108,7.08,4.34,2000
Damian Gregory,DT,Illinois State,6-2,307,4.87,30,27,105,7.37,4.6,2000
Cornelius Griffin,DE,Alabama,6-3,297,4.9,31,30,111,7.63,4.62,2000
Clark Haggans,OLB,Colorado State,6-3,253,4.97,31.5,20,109,7.12,4.21,2000
Ricky Hall,WR,Virginia Tech,6-2,206,4.52,,,,,,2000
Dante' Hall,RB,Texas A&M,5-8,191,4.44,38,18,123,6.62,3.82,2000
James Hall,DE,Michigan,6-2,271,5.03,32,,111,7.86,4.51,2000
Troy Hambrick,RB,South Carolina,6-0,237,4.66,34.5,21,118,7.48,4.44,2000
Joey Hamilton,WR,Jacksonville State,6-1,201,4.54,36,,116,7.57,4.41,2000
Joe Hamilton,QB,Georgia Tech,5-10,192,4.81,,,106,,,2000
Thomas Hamner,RB,Minnesota,6-0,197,4.5,32,17,125,6.97,4.07,2000
D'Andre Hardeman,FB,Texas A&M,5-10,238,4.81,30,,109,7.27,4.36,2000
Antwan Harris,CB,Virginia,5-9,186,4.34,39,16,121,6.75,4.01,2000
Jeff Harris,CB,Georgia,6-0,190,4.53,34.5,,114,6.73,4.25,2000
Lloyd Harrison,CB,North Carolina State,5-10,190,4.5,37.5,16,119,7.12,4.25,2000
Windrell Hayes,WR,USC,5-11,204,4.5,,,,7.33,4.18,2000
Semisi Heimuli,OG,Texas A&M,6-1,312,5.4,29,20,94,7.94,4.63,2000
Steve Herndon,OG,Georgia,6-4,297,5.23,,,,,,2000
Leroy Hodge,WR,Texas A&M,6-1,215,4.54,34.5,,116,7.14,4.21,2000
Deone Horinek,P,Colorado State,6-2,234,,,,,,,2000
Chris Hovan,DT,Boston Col.,6-2,305,4.99,30,35,101,6.85,4.16,2000
Darren Howard,DE,Kansas State,6-4,281,5.09,29,,108,7,4.32,2000
Reggie Howard,CB,Memphis,5-11,190,4.55,,,,,,2000
Ethan Howell,CB,Oklahoma State,5-11,186,4.56,,16,,6.98,4.13,2000
Aaron Humphrey,DE,Texas,6-3,254,5.1,34,21,119,,,2000
Todd Husak,QB,Stanford,6-3,216,5.2,27.5,,99,7.17,4.41,2000
Trevor Insley,WR,Nevada,6-0,192,4.7,,,,,,2000
Junior Ioane,DT,Arizona State,6-3,324,5.12,,,,,,2000
Jabari Issa,DT,Washington,6-5,296,5.05,31.5,19,105,7.69,4.72,2000
Keith Jackson,DT,Cheyney,6-4,319,5.2,,28,,,,2000
Al Jackson,OG,LSU,6-3,304,5.2,,19,,,,2000
Darrell Jackson,WR,Florida,6-0,197,4.56,,,,,,2000
Jarious Jackson,QB,Notre Dame,6-0,226,4.68,,,109,,,2000
Marlion Jackson,RB,Saginaw Valley State,6-1,242,4.6,35.5,24,125,7.15,4.14,2000
Jeno James,OG,Auburn,6-3,320,5.62,25.5,24,94,8.51,5.22,2000
Sebastian Janikowski,K,Florida State,6-1,260,,,,,,,2000
Ronney Jenkins,RB,Northern Arizona,5-10,184,4.5,,18,118,,,2000
Brandon Jennings,S,Texas A&M,6-0,198,4.51,38,16,123,6.91,4.14,2000
Ryan Johanningmeier,OG,Colorado,6-6,310,5.25,29,,107,7.9,4.66,2000
Matt Johnson,OG,BYU,6-4,345,5.56,28,35,99,8.07,4.99,2000
Doug Johnson,QB,Florida,6-2,226,4.95,29.5,,96,,,2000
Dwight Johnson,DT,Baylor,6-4,285,4.97,28,26,105,7.51,4.76,2000
Eric Johnson,S,Yale,6-0,215,4.6,38,12,121,6.96,4.17,2000
Jerry Johnson,DT,Florida State,6-0,293,5.03,28.5,26,102,,,2000
Dwaune Jones,WR,Richmond,6-0,191,4.66,,,,,,2000
Dhani Jones,OLB,Michigan,6-1,240,4.68,,29,,,,2000
Fred Jones,OLB,Colorado,6-2,247,4.95,32,17,113,7.27,4.39,2000
John Jones,TE,Pittsburgh,6-4,248,4.63,38.5,13,125,7.33,4.43,2000
Thomas Jones,RB,Virginia,5-10,216,4.45,,,,,,2000
Leander Jordan,OG,Indiana (PA),6-4,330,5.46,31,25,104,7.91,4.76,2000
Morgan Kane,RB,Wake Forest,6-1,221,4.62,37.5,29,121,6.81,4.16,2000
Curtis Keaton,RB,West Virginia,5-10,214,4.41,41.5,23,131,6.82,3.93,2000
Tinker Keck,S,Cincinnati,6-1,200,4.55,36.5,15,120,6.96,4.31,2000
Matt Keller,FB,Ohio State,5-11,235,4.74,,,,,,2000
Ben Kelly,CB,Colorado,5-9,183,4.53,36,17,116,6.63,3.95,2000
Dan Kendra,FB,Florida State,6-0,251,4.84,35,24,119,,,2000
Kenoy Kennedy,S,Arkansas,6-1,221,4.71,33.5,8,113,7.08,4.38,2000
Sean Key,S,Florida State,5-11,188,4.65,,,,7.12,4.2,2000
Jimmy Kibble,P,Virginia Tech,5-10,195,,,,,,,2000
Erron Kinney,TE,Florida,6-6,272,4.9,,,,,,2000
Adrian Klemm,OT,Hawaii,6-4,307,4.98,,24,,,,2000
Andrew Kline,OG,San Diego State,6-2,305,5.43,28,26,103,7.54,4.6,2000
Marcus Knight,WR,Michigan,6-1,180,4.72,28.5,,106,7.11,4.38,2000
Noel LaMontagne,OG,Virginia,6-4,299,5.09,,21,,,,2000
Kareem Larrimore,CB,West Texas A&M,5-11,190,4.42,34,,125,,,2000
Leif Larsen,DT,Texas-El Paso,6-4,300,5.08,30,45,110,7.46,4.37,2000
Shane Lechler,P,Texas A&M,6-2,234,,,,,,,2000
Charles Lee,WR,Central Florida,6-1,202,4.56,35.5,,125,7.3,4.25,2000
Tim Lester,QB,West. Michigan,6-0,202,5.02,27,,97,7.28,4.24,2000
Jamal Lewis,RB,Tennessee,6-0,240,4.58,,23,,,,2000
Anthony Lucas,WR,Arkansas,6-3,194,4.53,35,,121,,,2000
Al Lucas,DT,Troy,6-1,294,5,36,28,108,7.44,4.56,2000
Alton Lusk,WR,Central Oklahoma,6-2,182,4.61,36.5,,122,7.16,4.26,2000
Dustin Lyman,ILB,Wake Forest,6-4,259,4.7,35,22,118,6.86,4.06,2000
David Macklin,CB,Penn State,5-9,194,4.54,37.5,,120,6.9,4.09,2000
Anthony Malbrough,CB,Texas Tech,5-9,184,4.44,35.5,20,117,6.73,4,2000
Tee Martin,QB,Tennessee,6-2,227,4.58,34.5,,113,,,2000
Terrence McCaskey,TE,Mississippi State,6-5,271,5,29,,101,,,2000
Kevin McDougal,RB,Colorado State,5-11,206,4.63,32,,108,7.08,4.12,2000
Stockar McDougle,OT,Oklahoma,6-5,361,5.5,,24,,,,2000
Chris McIntosh,OT,Wisconsin,6-6,315,5.39,,28,,,,2000
Damion McIntosh,OT,Kansas State,6-4,328,5.31,26,23,97,7.72,4.71,2000
Alvin McKinley,DT,Mississippi State,6-4,289,5.09,27.5,22,102,7.73,4.61,2000
Rondell Mealey,RB,LSU,6-0,212,4.69,33,,120,6.89,4.15,2000
Brad Meester,C,New Mexico,6-3,298,5.12,34,25,110,7.46,4.43,2000
Rob Meier,DE,Washington State,6-5,284,4.99,30.5,27,113,7.49,4.52,2000
Richard Mercier,OG,Miami (FL),6-3,295,5.39,26,18,97,7.84,4.78,2000
Keith Miller,ILB,California,6-1,246,4.97,27.5,24,110,7.37,4.43,2000
Wendell Montgomery,WR,Wyoming,6-3,203,4.81,35.5,,117,7.01,4.24,2000
Scottie Montgomery,WR,Duke,6-0,196,4.57,36,,117,7.16,4.11,2000
Mookie Moore,OG,Troy,6-3,320,5.45,24.5,34,94,8.37,5.06,2000
Muneer Moore,WR,Richmond,6-1,201,4.52,37.5,,129,6.91,4.09,2000
Corey Moore,OLB,Virginia Tech,5-11,223,4.6,,21,,,,2000
Frank Moreau,RB,Louisville,6-1,231,4.57,36,23,117,,,2000
Aric Morris,S,Michigan State,5-9,211,4.56,,24,,,,2000
Rob Morris,ILB,BYU,6-2,250,4.77,33,18,113,6.93,4.17,2000
Sammy Morris,FB,Texas Tech,6-0,221,4.65,37.5,23,117,7.05,4.21,2000
Sylvester Morris,WR,Jackson State,6-3,216,4.6,34.5,,119,7.06,4.17,2000
Chad Morton,RB,USC,5-8,182,4.5,36,18,121,,,2000
Leon Murray,QB,Tennessee State,6-2,207,4.75,,,,,,2000
Bobby Myers,S,Wisconsin,6-1,183,4.56,37.5,,123,7.04,4.1,2000
Kaulana Noa,OT,Hawaii,6-4,317,5.34,25.5,27,98,7.82,4.74,2000
Dennis Northcutt,WR,Arizona,5-10,175,4.43,37.5,,123,6.96,4.04,2000
Carlos Nuno,TE,BYU,6-4,263,5.03,28,23,106,,,2000
Matt O'Neal,C,Oklahoma,6-3,277,5.06,27.5,17,94,7.59,4.72,2000
Andre O'Neal,ILB,Marshall,6-1,235,4.72,34,16,114,7.3,4.24,2000
Deltha O'Neal,CB,California,5-11,193,4.6,,,,,,2000
Adewale Ogunleye,DE,Indiana,6-4,253,,,,,,,2000
Erik Olson,S,Colorado State,6-1,208,4.63,35,17,115,6.81,4.21,2000
Chad Pennington,QB,Marshall,6-3,229,4.81,33.5,,111,7.12,4.16,2000
Cory Peterson,WR,Mississippi,6-2,195,4.75,32.5,,114,,,2000
Julian Peterson,OLB,Michigan State,6-5,231,4.68,,,,,,2000
Mareno Philyaw,WR,Troy,6-2,205,4.66,39.5,,129,6.93,4.13,2000
Todd Pinkston,WR,Southern Miss,6-2,169,4.45,,,,,,2000
Cedric Pittman,OLB,Nevada,6-3,261,4.9,30.5,20,111,7.75,4.52,2000
Ahmed Plummer,CB,Ohio State,5-11,191,4.43,,,,,,2000
DaShon Polk,OLB,Arizona,6-2,233,4.75,32,18,111,7.43,4.45,2000
Jerry Porter,WR,West Virginia,6-2,221,4.48,,,,,,2000
Hank Poteat,CB,Pittsburgh,5-10,197,4.57,37,16,126,6.66,4,2000
Travis Prentice,RB,Miami (OH),6-0,225,4.5,37,23,115,6.92,4.4,2000
Greg Randall,OT,Michigan State,6-6,333,5.59,26,22,95,8.15,5.13,2000
Tim Rattay,QB,Louisiana Tech,6-0,215,4.91,25.5,,100,7.34,4.21,2000
Chase Raynock,OT,Montana,6-6,308,5.5,25,22,94,8.33,5,2000
Chris Redman,QB,Louisville,6-3,222,5.37,26.5,,98,7.8,4.78,2000
J.R. Redmond,RB,Arizona State,5-11,216,4.48,32.5,,121,,,2000
Quinton Reese,DE,Auburn,6-4,283,5.13,30,18,101,7.91,4.68,2000
Tutan Reyes,OT,Mississippi,6-3,299,5.37,26.5,20,99,7.49,4.88,2000
Rob Riti,C,Missouri,6-2,293,5.19,29.5,17,106,,,2000
Fred Robbins,DT,Wake Forest,6-4,312,5.09,29.5,25,94,7.72,4.72,2000
Roger Roesler,OG,Texas,6-5,314,5.31,29.5,25,101,8.31,4.76,2000
Phillip Rogers,RB,Georgia Tech,6-1,232,4.68,37,19,124,7.21,4.31,2000
Mark Roman,CB,LSU,5-11,188,4.55,,,,,,2000
Blaine Saipaia,OG,Colorado State,6-3,321,5.35,,,,,,2000
Chris Samuels,OT,Alabama,6-5,325,5.08,,,,,,2000
Lewis Sanders,CB,Maryland,6-0,202,4.5,37,10,116,,,2000
Ketric Sanford,RB,Houston,5-7,199,4.6,32,12,118,6.63,4.3,2000
Sekou Sanyika,OLB,California,6-3,241,4.75,32.5,,111,7.33,4.38,2000
Manuia Savea,OG,Arizona,6-2,308,5.34,25,24,92,,,2000
Gari Scott,WR,Michigan State,6-0,194,4.59,33.5,,119,,,2000
Tony Scott,CB,North Carolina State,5-10,193,4.5,34,11,116,7.45,4.24,2000
Richard Seals,DT,Utah,6-2,316,5.13,28.5,24,102,7.78,4.6,2000
Aaron Shea,FB,Michigan,6-4,253,4.81,37.5,,114,6.72,4.3,2000
Jacoby Shepherd,CB,Oklahoma State,6-1,195,4.53,35,5,120,,,2000
Samson Sherrod,OLB,San Jose State,6-3,262,4.78,,,,,,2000
Wes Shivers,OT,Mississippi State,6-5,318,5.65,22.5,18,98,8.48,4.81,2000
Brandon Short,ILB,Penn State,6-3,252,4.72,,,,,,2000
Kofi Shuck,WR,Wyoming,6-2,180,4.66,33,,119,7.18,4.1,2000
Corey Simon,DT,Florida State,6-2,297,4.83,,,,,,2000
Mark Simoneau,OLB,Kansas State,6-0,237,4.6,36,24,117,7.08,4.09,2000
Peter Sirmon,ILB,Oregon,6-2,246,4.84,34.5,20,115,7.21,4.27,2000
T.J. Slaughter,ILB,Southern Miss,6-0,247,4.87,30,24,112,7.08,4.26,2000
Dwyte Smiley,S,Youngstown State,6-1,198,4.57,35,13,115,7.18,4.29,2000
Jamel Smith,ILB,Virginia Tech,6-0,245,5.18,29.5,,108,7.51,4.58,2000
Keith Smith,RB,Arizona,5-10,207,4.5,,,,,,2000
Marvel Smith,OT,Arizona State,6-5,320,5.37,27.5,24,100,7.87,4.83,2000
Paul Smith,FB,Texas-El Paso,5-11,220,4.65,,25,,,,2000
Robaire Smith,DE,Michigan State,6-4,275,4.88,,,,,,2000
Terrelle Smith,FB,Arizona State,6-0,249,5,32.5,19,109,8.38,4.85,2000
R. Jay Soward,WR,USC,5-9,177,4.34,35,,124,,,2000
Rashon Spikes,RB,Boise State,5-10,204,4.78,33,13,113,7.18,4.47,2000
Quinton Spotwood,WR,Syracuse,5-11,184,4.55,33.5,,123,,,2000
Dave Stachelski,TE,Boise State,6-3,250,4.78,38,24,115,6.84,4.14,2000
Shyrone Stith,RB,Virginia Tech,5-7,204,4.6,35,13,111,7.14,4.14,2000
Jay Tant,TE,Northwestern,6-3,255,4.75,,31,,,,2000
Mark Tauscher,OG,Wisconsin,6-3,318,5.37,27,22,90,7.91,4.84,2000
Shannon Taylor,OLB,Virginia,6-3,249,4.65,34.5,,115,,,2000
Travis Taylor,WR,Florida,6-1,199,4.43,37,,118,7.15,,2000
Adalius Thomas,DE,Southern Miss,6-2,270,4.56,38.5,,120,,4.42,2000
Jason Thomas,OG,South Carolina,6-3,300,5.22,29.5,23,100,7.99,,2000
Michael Thompson,OT,Tennessee State,6-4,305,5.28,26,16,104,7.99,4.73,2000
Raynoch Thompson,OLB,Tennessee,6-3,220,4.65,,,,,,2000
Travares Tillman,S,Georgia Tech,6-1,194,4.6,37.5,15,123,6.95,4.29,2000
Mao Tosi,DT,Idaho,6-5,310,5.26,28.5,19,99,7.72,4.6,2000
Mac Tuiaea,DT,Washington,6-6,296,5.09,29,25,99,7.82,4.72,2000
Ryan Tujague,OG,Washington State,6-5,297,5.16,27,21,96,8.18,4.95,2000
Jeff Ulbrich,ILB,Hawaii,6-0,249,4.65,32,24,109,7.23,4.3,2000
Brian Urlacher,OLB,New Mexico,6-4,258,4.59,34,27,122,6.94,4.18,2000
Darrick Vaughn,CB,Texas State,5-11,196,4.53,36.5,14,121,7.09,4.16,2000
Andy Vincent,OG,Texas A&M,6-4,306,5.2,28.5,14,108,7.54,4.42,2000
Todd Wade,OT,Mississippi,6-8,326,5.22,27.5,29,101,7.68,4.68,2000
Jeff Walker,P,Mississippi State,5-10,218,,,,,,,2000
Darwin Walker,DT,Tennessee,6-2,293,4.82,,,,,,2000
Troy Walters,WR,Stanford,5-6,171,4.55,32.5,,106,6.61,3.84,2000
Steve Warren,DT,Nebraska,6-1,307,5.1,30.5,29,105,7.97,4.56,2000
Peter Warrick,WR,Florida State,5-11,194,4.58,,,,,,2000
Jason Webster,CB,Texas A&M,5-9,180,4.42,35.5,17,122,6.76,3.98,2000
James Whalen,TE,Kentucky,6-2,228,4.78,31,,110,7.42,4.22,2000
Austin Wheatley,TE,Iowa,6-4,254,4.66,32.5,,121,6.97,4.18,2000
Damen Wheeler,CB,Colorado,5-9,179,4.51,35,11,115,7.21,4.27,2000
Anthony White,RB,Kentucky,6-0,195,4.68,32.5,,118,7.05,4.24,2000
Jerard White,CB,Massachusetts,6-1,213,4.61,38.5,14,118,6.96,4.53,2000
Dez White,WR,Georgia Tech,6-1,218,4.62,37.5,,124,6.91,4.09,2000
Michael Wiley,RB,Ohio State,5-11,193,4.5,,,,,,2000
Boo Williams,RB,South Carolina,5-11,222,4.52,,,,,,2000
Bobbie Williams,OT,Arkansas,6-4,332,5.26,29,28,97,7.78,4.72,2000
James Williams,WR,Marshall,5-11,180,4.59,36,,123,7.22,4.16,2000
Jack Williams,S,Azusa Pacific,5-10,206,4.72,31.5,15,108,7.15,4.65,2000
Josh Williams,DT,Michigan,6-3,282,4.9,30.5,,111,7.22,4.25,2000
Antonio Wilson,OLB,Texas A&M-Commerce,6-2,245,4.56,,11,,,,2000
Cedric Woodard,DT,Texas,6-2,290,5.21,30.5,23,109,,,2000
Destry Wright,RB,Jackson State,5-11,216,4.84,29.5,15,112,7.15,4.41,2000
Spergon Wynn,QB,Texas State,6-3,229,4.91,34,,108,7.71,4.59,2000
Bashir Yamini,WR,Iowa,6-3,191,4.53,33,,130,7.09,4.18,2000
Brian Young,DE,Texas-El Paso,6-2,278,4.94,29.5,27,106,7.2,4.47,2000
Keith Adams,OLB,Clemson,5-11,219,4.82,,24,104,,,2001
Hakim Akbar,S,Washington,6-0,210,4.55,,,,,,2001
Brian Allen,OLB,Florida State,6-0,238,4.65,,25,,,,2001
David Allen,RB,Kansas State,5-9,194,4.62,31,15,111,,,2001
Matt Allen,P,Troy,6-3,246,,,,,,,2001
Will Allen,CB,Syracuse,5-10,192,4.44,39.5,14,121,6.78,3.9,2001
Scotty Anderson,WR,Grambling State,6-2,184,4.57,34.5,,115,,,2001
Adam Archuleta,S,Arizona State,6-0,211,4.46,,31,,,,2001
Tom Ashworth,OG,Colorado,6-6,293,5.11,33.5,20,109,7.4,4.3,2001
Billy Baber,TE,Virginia,6-4,255,4.76,33,22,106,7.12,4.19,2001
Jeff Backus,OT,Michigan,6-5,310,5.37,27,25,99,8.27,4.67,2001
Rodney Bailey,DE,Ohio State,6-3,283,5.1,,,,,,2001
Jason Baker,P,Iowa,6-1,198,,,,,,,2001
Alex Bannister,WR,East. Kentucky,6-5,201,4.47,30.5,,110,,,2001
Kevan Barlow,RB,Pittsburgh,6-1,235,4.56,,,,,,2001
Idrees Bashir,S,Memphis,6-2,206,4.56,40,22,126,7.14,4.2,2001
