Player,Pos,School,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano,altura,peso,GPos40,GPosBench,GPosBJ,GPos3CONE,cp1
Chrys Chukwuma,RB,Arkansas,4.56,,,292.1,,,2000,185.42,105.233344,g3,g6,g8,g11,6.49765722402922
Joey Chustz,OT,Louisiana Tech,5.08,78.74,28,261.62,7.65,4.65,2000,200.66,137.891968,g1,g4,g9,g10,-28.8716556288976
Pedro Cirino,S,Boston Col.,4.59,,,,,,2000,180.34,89.357624,g3,g6,g7,g12,23.1297952732399
John Saint Clair,C,Virginia,5.2,,25,,,,2000,195.58,136.984784,g1,g4,g9,g10,-26.7666188743922
Kendrick Clancy,DT,Mississippi,5.25,69.85,25,274.32,7.98,4.65,2000,185.42,128.366536,g1,g4,g9,g10,-15.9533175041518
Travis Claridge,OG,USC,5.15,80.01,29,254,7.77,4.86,2000,195.58,137.438376,g1,g4,g9,g10,-27.2068340651409
Danny Clark,ILB,Illinois,4.75,,20,,,,2000,187.96,111.13004,g2,g5,g8,g11,0.162556557792777
Chad Clifton,OT,Tennessee,5.05,77.47,24,259.08,7.58,4.73,2000,195.58,151.499728,g1,g4,g9,g10,-40.8535049783489
Chris Cole,WR,Texas A&M,4.37,95.25,,317.5,6.76,4.09,2000,182.88,86.636072,g3,g6,g7,g12,25.1587832312278
Chris Coleman,WR,North Carolina State,4.61,82.55,,279.4,6.79,4.1,2000,182.88,95.707912,g3,g6,g7,g12,16.3544794162549
Cosey Coleman,OG,Tennessee,5.4,71.12,,256.54,8.15,4.97,2000,193.04,146.056624,g1,g4,g9,g10,-34.9586195028611
Laveranues Coles,WR,Florida State,4.41,86.36,,292.1,6.89,4.39,2000,180.34,87.089664,g3,g6,g7,g12,25.3308712269832
Chris Combs,DT,Duke,5.16,,22,,,,2000,195.58,129.727312,g1,g4,g9,g10,-19.7231758224139
Kurth Connell,OT,Washington,5.49,83.82,27,261.62,8.14,4.84,2000,193.04,131.995272,g1,g4,g9,g10,-21.3119485896531
