Player,Pos,School,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle,ano,altura,peso,GPos40,GPosBench,GPosBJ,GPos3CONE,cp1
Chris Gocong,DE,Cal Poly,4.7,97.79,28,312.42,7.05,4.08,2006,187.96,119.294696,g2,g5,g8,g11,-7.76131687568287
Kedric Golston,DT,Georgia,4.88,83.82,31,281.94,7.6,4.45,2006,193.04,136.0776,g1,g4,g9,g10,-25.2738853063909
Charles Gordon,CB,Kansas,4.6,90.17,12,292.1,6.95,4.2,2006,177.8,83.007336,g3,g6,g7,g12,29.905111130225
Marcus Green,DT,Ohio State,5.14,78.74,33,274.32,7.62,4.86,2006,185.42,133.80964,g1,g4,g9,g10,-21.2358997931355
Skyler Green,WR,LSU,4.53,86.36,,299.72,,,2006,175.26,87.089664,g3,g6,g7,g12,26.5554775999913
Chad Greenway,OLB,Iowa,4.76,85.09,16,297.18,7,4.22,2006,187.96,109.769264,g2,g5,g8,g11,1.48320213003872
Cedric Griffin,S,Texas,4.51,90.17,17,317.5,6.84,4.1,2006,182.88,90.264808,g3,g6,g7,g12,21.6370617052386
Derek Hagan,WR,Arizona State,4.45,91.44,,314.96,,4.07,2006,187.96,94.347136,g3,g6,g7,g12,16.4505186154927
Marques Hagans,RB,Virginia,4.67,88.9,,289.56,7.03,4.38,2006,175.26,91.625584,g3,g6,g8,g11,22.1533256925048
Tamba Hali,DE,Penn State,4.87,,,,,,2006,190.5,124.7378,g2,g5,g8,g11,-13.6562023511707
Andre Hall,RB,South Florida,4.4,83.82,18,287.02,7.38,,2006,172.72,94.347136,g3,g6,g8,g11,20.1243377345169
Chris Hannon,WR,Tennessee,4.48,87.63,,309.88,,,2006,190.5,92.98636,g3,g6,g7,g12,17.1588610012346
Parys Haralson,DE,Tennessee,4.8,81.28,24,292.1,7.37,4.26,2006,185.42,114.758776,g2,g5,g8,g11,-2.74686178169236
Roman Harper,S,Alabama,4.5,,19,,,,2006,182.88,89.811216,g3,g6,g7,g12,22.0772768959873
Chris Harrell,S,Penn State,4.7,102.87,15,302.26,7.02,4.12,2006,182.88,94.800728,g3,g6,g7,g12,17.2349097977521
Orien Harris,DT,Miami (FL),5.27,,25,,,,2006,190.5,136.531192,g1,g4,g9,g10,-25.1017973106355
Jerome Harrison,RB,Washington State,4.47,87.63,19,314.96,6.77,4.07,2006,175.26,91.171992,g3,g6,g8,g11,22.5935408832534
Mike Hass,WR,Oregon State,4.59,81.28,,294.64,6.97,4.14,2006,185.42,94.347136,g3,g6,g7,g12,17.0628218019967
Jason Hatcher,DE,Grambling State,4.82,90.17,28,287.02,7.67,4.49,2006,198.12,128.820128,g2,g5,g8,g11,-19.4550486274206
Spencer Havner,ILB,UCLA,4.69,99.06,,294.64,6.81,4.07,2006,190.5,109.769264,g2,g5,g8,g11,0.870898943534681
A.J. Hawk,OLB,Ohio State,4.59,101.6,24,292.1,6.82,3.96,2006,185.42,112.490816,g2,g5,g8,g11,-0.545785827949126
Chris Hawkins,CB,Marshall,4.51,93.98,16,294.64,,4.18,2006,177.8,83.007336,g3,g6,g7,g12,29.905111130225
Taurean Henderson,RB,Texas Tech,4.62,82.55,,284.48,7.01,4.4,2006,175.26,92.532768,g3,g6,g8,g11,21.2728953110075
Eric Henderson,DE,Georgia Tech,4.75,,30,,,,2006,187.96,122.46984,g2,g5,g8,g11,-10.8428232109234
Matt Henshaw,TE,Florida State,4.73,73.66,16,281.94,7.44,4.44,2006,193.04,112.490816,g2,g5,g8,g11,-2.38269538746124
Jarvis Herring,S,Florida,4.85,92.71,15,294.64,7.34,4.23,2006,180.34,93.893544,g3,g6,g7,g12,18.7276433657535
Devin Hester,WR,Miami (FL),4.41,96.52,16,314.96,,,2006,180.34,86.18248,g3,g6,g7,g12,26.2113016084805
Tye Hill,CB,Clemson,4.34,104.14,,327.66,6.63,4.01,2006,177.8,83.91452,g3,g6,g7,g12,29.0246807487277
Ed Hinkel,WR,Iowa,4.54,86.36,,294.64,6.97,4.1,2006,182.88,86.18248,g3,g6,g7,g12,25.5989984219764
Abdul Hodge,ILB,Iowa,4.76,78.74,,274.32,7.09,4.3,2006,182.88,107.047712,g2,g5,g8,g11,5.34909964753867
Santonio Holmes,WR,Ohio State,4.35,,,,,,2006,180.34,85.275296,g3,g6,g7,g12,27.0917319899778
Reuben Houston,CB,Georgia Tech,4.62,105.41,21,322.58,,4.42,2006,182.88,87.089664,g3,g6,g7,g12,24.7185680404791
Thomas Howard,OLB,Texas-El Paso,4.42,99.06,21,314.96,6.96,4.28,2006,190.5,108.408488,g2,g5,g8,g11,2.19154451578061
Oliver Hoyte,ILB,North Carolina State,4.93,81.28,19,284.48,7.47,4.3,2006,190.5,111.13004,g2,g5,g8,g11,-0.449746628711261
Marcus Hudson,S,North Carolina State,4.55,,11,,,,2006,185.42,87.996848,g3,g6,g7,g12,23.2258344724778
Michael Huff,S,Texas,4.34,102.87,21,317.5,,,2006,182.88,92.532768,g3,g6,g7,g12,19.4359857514954
Cedric Humes,RB,Virginia Tech,4.62,77.47,18,269.24,7.07,4.22,2006,185.42,102.965384,g3,g6,g8,g11,8.69873317777245
Darrell Hunter,CB,Miami (OH),4.44,91.44,8,312.42,,4.11,2006,182.88,93.439952,g3,g6,g7,g12,18.5555553699981
Clint Ingram,OLB,Oklahoma,4.65,104.14,22,,7.12,4.1,2006,187.96,110.676448,g2,g5,g8,g11,0.602771748541425
Brian Iwuh,OLB,Colorado,4.66,,20,,,,2006,182.88,106.140528,g2,g5,g8,g11,6.22953002903597
Chad Jackson,WR,Florida,4.32,97.79,,309.88,6.73,3.97,2006,185.42,96.615096,g3,g6,g7,g12,14.8617458482535
D'Qwell Jackson,ILB,Maryland,4.73,93.98,19,294.64,7.05,4.36,2006,182.88,104.32616,g2,g5,g8,g11,7.99039079203056
T.J. Jackson,DT,Auburn,5.15,78.74,26,264.16,7.72,4.6,2006,182.88,137.891968,g1,g4,g9,g10,-24.5855333233693
Max Jean-Gilles,OG,Georgia,5.48,62.23,27,241.3,8.56,5.08,2006,193.04,161.02516,g1,g4,g9,g10,-49.4857207975664
Julian Jenkins,DE,Stanford,5.03,87.63,25,279.4,7.11,4.23,2006,193.04,125.644984,g2,g5,g8,g11,-15.148935919172
Adam Jennings,WR,Fresno State,4.44,95.25,,299.72,6.88,4.12,2006,175.26,82.100152,g3,g6,g7,g12,31.3978446982264
Greg Jennings,WR,West. Michigan,4.42,92.71,,297.18,6.68,4.16,2006,180.34,89.357624,g3,g6,g7,g12,23.1297952732399
Kelly Jennings,CB,Miami (FL),4.39,101.6,,304.8,,4,2006,180.34,80.739376,g3,g6,g7,g12,31.4938838974642
Tim Jennings,CB,Georgia,4.32,95.25,17,297.18,,,2006,172.72,83.91452,g3,g6,g7,g12,30.2492871217358
Brandon Johnson,OLB,Louisville,4.44,93.98,11,299.72,7.17,4.34,2006,195.58,103.418976,g2,g5,g8,g11,5.80930524100764
Johnny Jolly,DT,Texas A&M,5.41,,,264.16,,,2006,190.5,143.788664,g1,g4,g9,g10,-32.1452403626138
Maurice Jones-Drew,RB,UCLA,4.39,91.44,18,294.64,7.08,4.38,2006,170.18,93.893544,g3,g6,g8,g11,21.1768561117696
Davin Joseph,OG,Oklahoma,5.09,81.28,24,281.94,,4.97,2006,190.5,141.067112,g1,g4,g9,g10,-29.503949218122
Johnathan Joseph,CB,South Carolina,4.31,93.98,15,312.42,6.92,4.23,2006,180.34,87.543256,g3,g6,g7,g12,24.8906560362345
Winston Justice,OT,USC,5.16,88.9,,279.4,7.31,4.53,2006,198.12,144.695848,g1,g4,g9,g10,-34.8625803036233
Freddy Keiaho,ILB,San Diego State,4.68,91.44,15,287.02,7.01,4.12,2006,180.34,101.604608,g2,g5,g8,g11,11.2439851230265
Charlton Keith,OLB,Kansas,4.78,77.47,12,276.86,7.03,4.36,2006,193.04,107.501304,g2,g5,g8,g11,2.45967171077387
William Kershaw,OLB,Maryland,4.63,93.98,21,281.94,6.95,4.17,2006,190.5,108.86208,g2,g5,g8,g11,1.75132932503198
Jeff King,TE,Virginia Tech,4.83,82.55,21,276.86,6.99,4.09,2006,195.58,111.13004,g2,g5,g8,g11,-1.67435300171934
Mathias Kiwanuka,DE,Boston Col.,4.7,81.28,17,304.8,7.27,4.13,2006,198.12,120.655472,g2,g5,g8,g11,-11.531175193945
Joe Klopfenstein,TE,Colorado,4.63,91.44,27,284.48,7.39,4.21,2006,198.12,115.66596,g2,g5,g8,g11,-6.68880809570985
Mike Kudla,DE,Ohio State,4.72,93.98,45,289.56,7.21,4.45,2006,187.96,120.20188,g2,g5,g8,g11,-8.64174725718017
Chris Kuper,OG,North Dakota,5.1,76.2,24,276.86,7.59,4.6,2006,193.04,136.531192,g1,g4,g9,g10,-25.7141004971395
Ryan LaCasse,DE,Syracuse,4.62,86.36,34,287.02,7.25,4.3,2006,187.96,116.573144,g2,g5,g8,g11,-5.12002573119099
Dawan Landry,S,Georgia Tech,4.64,95.25,18,314.96,,4.27,2006,185.42,99.79024,g3,g6,g7,g12,11.780239513013
Manny Lawson,OLB,North Carolina State,4.43,100.33,23,314.96,6.9,4.18,2006,195.58,109.315672,g2,g5,g8,g11,0.086507761275245
Josh Lay,CB,Pittsburgh,4.48,102.87,16,304.8,,,2006,182.88,89.357624,g3,g6,g7,g12,22.5174920867359
Greg Lee,WR,Pittsburgh,4.59,90.17,,289.56,6.8,4.09,2006,187.96,91.171992,g3,g6,g7,g12,19.5320249507332
Jonathan Lewis,DT,Virginia Tech,4.97,85.09,24,281.94,7.4,4.4,2006,185.42,140.159928,g1,g4,g9,g10,-27.3989124636166
Marcedes Lewis,TE,UCLA,4.8,93.98,23,299.72,7.24,4.82,2006,198.12,118.387512,g2,g5,g8,g11,-9.33009924020174
Calvin Lowry,S,Penn State,4.54,91.44,15,304.8,7.16,4.2,2006,180.34,90.7184,g3,g6,g7,g12,21.809149700994
Wali Lundy,RB,Virginia,4.48,88.9,18,281.94,6.99,4.36,2006,180.34,97.068688,g3,g6,g8,g11,15.6461370305129
Deuce Lutui,OG,USC,5.35,71.12,26,246.38,8.04,4.76,2006,193.04,151.499728,g1,g4,g9,g10,-40.2412017918449
Jesse Mahelona,DT,Tennessee,5.37,,,,,,2006,182.88,141.067112,g1,g4,g9,g10,-27.6670396586098
Antonio Malone,CB,Toledo,4.59,86.36,10,281.94,7.05,4.1,2006,182.88,90.7184,g3,g6,g7,g12,21.19684651449
Nick Mangold,C,Ohio State,5.05,69.85,24,264.16,7.47,4.36,2006,193.04,136.0776,g1,g4,g9,g10,-25.2738853063909
Danieal Manning,CB,Abilene Christian,4.48,99.06,17,312.42,7.23,4.07,2006,180.34,91.625584,g3,g6,g7,g12,20.9287193194967
Laurence Maroney,RB,Minnesota,4.48,,,,,,2006,182.88,98.429464,g3,g6,g8,g11,13.713188271763
Brandon Marshall,WR,Central Florida,4.52,93.98,,304.8,,,2006,193.04,103.872568,g3,g6,g7,g12,5.98139323676304
Richard Marshall,CB,Fresno State,4.42,93.98,12,327.66,6.65,4.16,2006,180.34,85.728888,g3,g6,g7,g12,26.6515167992291
Derrick Martin,CB,Wyoming,4.5,101.6,17,322.58,6.72,3.95,2006,177.8,91.625584,g3,g6,g7,g12,21.5410225060007
Jimmy Martin,OT,Virginia Tech,5.23,78.74,25,256.54,,,2006,195.58,137.438376,g1,g4,g9,g10,-27.2068340651409
Tim Massaquoi,TE,Michigan,4.85,,32,,,,2006,190.5,117.480328,g2,g5,g8,g11,-6.61275929919232
Wendell Mathis,RB,Fresno State,4.51,83.82,20,297.18,6.93,4.22,2006,180.34,95.25432,g3,g6,g8,g11,17.4069977935075
Fred Matua,OG,USC,5,62.23,28,236.22,7.87,4.76,2006,187.96,138.799152,g1,g4,g9,g10,-26.6905700778747
Marcus Maxey,CB,Miami (FL),4.48,105.41,14,327.66,,,2006,185.42,89.811216,g3,g6,g7,g12,21.4649737094832
Dee McCann,CB,West Virginia,4.53,102.87,,309.88,7.35,4.38,2006,180.34,89.357624,g3,g6,g7,g12,23.1297952732399
John McCargo,DT,North Carolina State,5.15,77.47,25,279.4,7.79,4.48,2006,185.42,136.984784,g1,g4,g9,g10,-24.317406128376
Stanley McClover,DE,Auburn,4.7,99.06,19,289.56,7.87,4.5,2006,187.96,118.841104,g2,g5,g8,g11,-7.32110168493423
Tim McGarigle,ILB,Northwestern,4.73,96.52,,299.72,7.09,4.07,2006,185.42,109.769264,g2,g5,g8,g11,2.09550531654276
Rocky McIntosh,OLB,Miami (FL),4.62,105.41,18,302.26,,,2006,187.96,107.501304,g2,g5,g8,g11,3.68427808378194
Marcus McNeill,OT,Auburn,5.07,78.74,,248.92,8.19,5,2006,203.2,152.406912,g1,g4,g9,g10,-43.5708449193583
Gerrick McPhearson,CB,Maryland,4.42,105.41,18,327.66,,,2006,177.8,88.904032,g3,g6,g7,g12,24.1823136504926
Paul McQuistan,OT,Weber State,5.07,74.93,28,279.4,7.72,4.62,2006,198.12,141.520704,g1,g4,g9,g10,-31.7810739683827
Robin Meadow,OG,Michigan State,5.4,60.96,29,251.46,7.94,4.73,2006,195.58,146.963808,g1,g4,g9,g10,-36.4513530708624
Vincent Meeks,S,Texas Tech,4.85,83.82,11,284.48,,,2006,180.34,95.25432,g3,g6,g7,g12,17.4069977935075
Jeremy Mincey,DE,Florida,4.76,85.09,27,294.64,6.99,4.25,2006,190.5,117.480328,g2,g5,g8,g11,-6.61275929919232
DeMario Minter,CB,Georgia,4.52,97.79,10,332.74,6.87,4.1,2006,180.34,86.18248,g3,g6,g7,g12,26.2113016084805
Anthony Mix,WR,Auburn,4.48,80.01,,281.94,,,2006,193.04,106.59412,g3,g6,g7,g12,3.34010209227116
Will Montgomery,C,Virginia Tech,5.12,74.93,35,264.16,7.4,4.43,2006,190.5,141.520704,g1,g4,g9,g10,-29.9441644088706
DonTrell Moore,RB,New Mexico,4.64,81.28,18,294.64,7.1,4.32,2006,177.8,95.25432,g3,g6,g8,g11,18.0193009800116
Sinorice Moss,WR,Miami (FL),4.38,,,,,,2006,172.72,83.91452,g3,g6,g7,g12,30.2492871217358
Martin Nance,WR,Miami (OH),4.55,85.09,,284.48,6.91,4.08,2006,193.04,96.615096,g3,g6,g7,g12,13.0248362887414
Terna Nande,OLB,Miami (OH),4.51,99.06,41,314.96,6.97,4.11,2006,182.88,105.233344,g2,g5,g8,g11,7.10996041053326
Javon Nanton,DE,Miami (FL),4.8,72.39,22,274.32,,,2006,190.5,113.398,g2,g5,g8,g11,-2.6508225824545
Khalid Naziruddin,CB,Texas Tech,4.64,97.79,17,302.26,,,2006,175.26,83.91452,g3,g6,g7,g12,29.6369839352318
Haloti Ngata,DT,Oregon,5.13,80.01,37,279.4,7.95,4.65,2006,193.04,153.314096,g1,g4,g9,g10,-42.0020625548395
A.J. Nicholson,OLB,Florida State,4.88,,25,294.64,7.37,4.43,2006,185.42,114.305184,g2,g5,g8,g11,-2.30664659094371
Rob Ninkovich,DE,Purdue,4.91,87.63,23,294.64,6.96,4.18,2006,190.5,117.93392,g2,g5,g8,g11,-7.05297448994097
Jerious Norwood,RB,Mississippi State,4.4,92.71,15,309.88,6.81,4.25,2006,182.88,95.25432,g3,g6,g8,g11,16.7946946070035
Ryan O'Callaghan,OT,California,5.39,63.5,21,233.68,,,2006,200.66,156.035648,g1,g4,g9,g10,-46.4802632588435
Ben Obomanu,WR,Auburn,4.45,96.52,,294.64,7.17,4.21,2006,185.42,92.98636,g3,g6,g7,g12,18.3834673742427
Quinn Ojinnaka,OT,Syracuse,5.44,72.39,21,259.08,8.45,5.11,2006,195.58,140.159928,g1,g4,g9,g10,-29.8481252096328
Melvin Oliver,DE,LSU,5.08,,,,,,2006,190.5,125.191392,g2,g5,g8,g11,-14.0964175419193
Chijioke Onyenegecha,CB,Oklahoma,4.55,87.63,16,299.72,,,2006,185.42,97.52228,g3,g6,g7,g12,13.9813154667562
Jonathan Orr,WR,Wisconsin,4.44,90.17,,302.26,7.31,4.16,2006,187.96,89.811216,g3,g6,g7,g12,20.8526705229792
Babatunde Oshinowo,DT,Stanford,5.27,81.28,33,266.7,7.87,4.54,2006,187.96,137.891968,g1,g4,g9,g10,-25.8101396963774
Jarrad Page,S,UCLA,4.63,96.52,,322.58,6.68,4.14,2006,182.88,108.408488,g3,g6,g7,g12,4.02845407529273
Kai Parham,ILB,Virginia,4.98,88.9,30,294.64,7.35,4.33,2006,190.5,116.119552,g2,g5,g8,g11,-5.29211372694638
Domata Peko,DT,Michigan State,5.27,72.39,25,261.62,7.69,4.49,2006,190.5,139.252744,g1,g4,g9,g10,-27.7430884551274
Donald Penn,OT,Utah State,5.05,,21,,,,2006,193.04,143.788664,g1,g4,g9,g10,-32.7575435491179
Terrance Pennington,OT,New Mexico,5.39,72.39,28,259.08,,,2006,200.66,147.4174,g1,g4,g9,g10,-38.1161746346192
Charlie Peprah,S,Alabama,4.66,95.25,15,302.26,6.81,4.09,2006,180.34,93.439952,g3,g6,g7,g12,19.1678585565021
Marvin Philip,C,California,5.24,68.58,27,243.84,7.85,4.69,2006,185.42,139.252744,g1,g4,g9,g10,-26.5184820821193
Anwar Phillips,CB,Penn State,4.6,,,,,,2006,182.88,87.543256,g3,g6,g7,g12,24.2783528497305
David Pittman,CB,NW State (LA),4.44,91.44,14,325.12,,4.23,2006,180.34,82.553744,g3,g6,g7,g12,29.7330231344696
Jason Pociask,TE,Wisconsin,4.84,82.55,23,292.1,7.31,4.3,2006,190.5,120.655472,g2,g5,g8,g11,-9.69426563443285
Bernard Pollard,S,Purdue,4.57,92.71,,332.74,,,2006,187.96,101.604608,g3,g6,g7,g12,9.40707556351436
Leonard Pope,TE,Georgia,4.62,95.25,22,299.72,7.47,4.67,2006,203.2,117.026736,g2,g5,g8,g11,-9.23406004096387
Donovan Raiola,C,Wisconsin,5.55,63.5,20,228.6,8.17,4.97,2006,187.96,136.0776,g1,g4,g9,g10,-24.0492789333828
Troy Reddick,OG,Auburn,5.57,,21,,7.92,4.82,2006,195.58,151.499728,g1,g4,g9,g10,-40.8535049783489
Willie Reid,WR,Florida State,4.34,95.25,,297.18,7.06,4.26,2006,177.8,85.275296,g3,g6,g7,g12,27.7040351764818
Matthew Rice,DE,Penn State,4.89,,,,7.6,4.34,2006,193.04,122.923432,g2,g5,g8,g11,-12.5076447746801
Gerald Riggs,RB,Tennessee,4.62,,,,,,2006,180.34,105.233344,g3,g6,g8,g11,7.7222635970373
Freddie Roach,ILB,Alabama,4.93,86.36,,281.94,7.49,4.42,2006,187.96,116.573144,g2,g5,g8,g11,-5.12002573119099
Dale Robinson,ILB,Arizona State,4.76,83.82,18,274.32,7.29,4.3,2006,182.88,104.779752,g2,g5,g8,g11,7.55017560128191
Michael Robinson,WR,Penn State,4.57,,,,,,2006,185.42,102.965384,g3,g6,g7,g12,8.69873317777245
Cory Rodgers,WR,TCU,4.58,85.09,,279.4,7.37,4.19,2006,182.88,85.275296,g3,g6,g7,g12,26.4794288034737
Dennis Roland,OT,Georgia,5.28,,19,,,,2006,208.28,148.778176,g1,g4,g9,g10,-41.2737297663772
Richie Ross,WR,Nebraska-Kearney,4.61,93.98,,304.8,6.95,4.29,2006,193.04,94.800728,g3,g6,g7,g12,14.785697051736
Pat Ross,C,Boston Col.,4.99,,23,,,,2006,190.5,136.531192,g1,g4,g9,g10,-25.1017973106355
Cory Ross,RB,Nebraska,4.58,,15,,,,2006,167.64,91.171992,g3,g6,g8,g11,24.4304504427656
Derrick Ross,RB,Tarleton State,4.56,88.9,20,284.48,7,4.35,2006,177.8,102.511792,g3,g6,g8,g11,10.9758579280332
Frostee Rucker,DE,USC,4.88,74.93,,279.4,,,2006,190.5,121.109064,g2,g5,g8,g11,-10.1344808251815
DeMeco Ryans,OLB,Alabama,4.65,99.06,23,327.66,7.19,4.17,2006,185.42,107.047712,g2,g5,g8,g11,4.73679646103463
Nate Salley,S,Ohio State,4.63,101.6,14,312.42,6.79,4.15,2006,187.96,97.975872,g3,g6,g7,g12,12.9287970895035
Tony Scheffler,TE,West. Michigan,4.54,85.09,17,292.1,6.81,4.01,2006,195.58,115.212368,g2,g5,g8,g11,-5.63628971845717
Anthony Schlegel,ILB,Ohio State,4.88,81.28,21,281.94,7.41,4.38,2006,182.88,113.398,g2,g5,g8,g11,-0.813913022942375
Jonathan Scott,OT,Texas,5.32,62.23,,256.54,7.73,4.85,2006,198.12,142.88148,g1,g4,g9,g10,-33.1017195406287
Mark Setterstrom,OG,Minnesota,5.38,67.31,19,254,7.63,4.53,2006,193.04,142.427888,g1,g4,g9,g10,-31.4368979768719
Kevin Simon,OLB,Tennessee,4.89,71.12,26,261.62,7.69,4.32,2006,177.8,106.59412,g2,g5,g8,g11,7.0139212112954
Ko Simpson,S,South Carolina,4.45,102.87,11,309.88,7.09,4.17,2006,185.42,94.800728,g3,g6,g7,g12,16.6226066112481
Ernie Sims,OLB,Florida State,4.5,104.14,25,317.5,7.31,4.22,2006,180.34,104.779752,g2,g5,g8,g11,8.16247878778595
Rob Sims,OG,Ohio State,5.25,,27,,,,2006,190.5,139.252744,g1,g4,g9,g10,-27.7430884551274
Dwayne Slay,S,Texas Tech,4.78,82.55,,284.48,,,2006,190.5,97.975872,g3,g6,g7,g12,12.3164939029995
LeKevin Smith,DT,Michigan State,4.97,77.47,30,276.86,7.93,4.92,2006,190.5,143.335072,g1,g4,g9,g10,-31.7050251718652
Anthony Smith,S,Syracuse,4.71,104.14,18,317.5,6.75,4.35,2006,182.88,87.996848,g3,g6,g7,g12,23.8381376589818
Brad Smith,WR,Missouri,4.46,100.33,,325.12,7,4.33,2006,187.96,96.615096,g3,g6,g7,g12,14.2494426617495
Eric Smith,S,Michigan State,4.63,101.6,21,322.58,6.89,4.1,2006,185.42,94.800728,g3,g6,g7,g12,16.6226066112481
Clinton Solomon,WR,Iowa,4.58,83.82,,289.56,7.17,4.46,2006,190.5,97.068688,g3,g6,g7,g12,13.1969242844968
Isaac Sowells,OG,Indiana,5.15,72.39,20,256.54,8.13,4.98,2006,190.5,146.963808,g1,g4,g9,g10,-35.2267466978544
Charles Spencer,OG,Pittsburgh,5.25,,30,,,,2006,195.58,159.664384,g1,g4,g9,g10,-48.7773784118245
Jason Spitz,OG,Louisville,5.4,72.39,25,259.08,7.82,4.55,2006,190.5,141.974296,g1,g4,g9,g10,-30.3843795996193
Montavious Stanley,DT,Louisville,5.12,73.66,,269.24,8.06,4.6,2006,187.96,141.974296,g1,g4,g9,g10,-29.7720764131152
Adam Stenavich,OG,Michigan,5.6,,24,,,,2006,193.04,140.61352,g1,g4,g9,g10,-29.6760372138773
Dan Stevenson,OG,Notre Dame,5.36,62.23,24,254,7.58,4.59,2006,195.58,136.0776,g1,g4,g9,g10,-25.8861884928949
Maurice Stovall,WR,Notre Dame,4.57,88.9,,309.88,6.81,4.14,2006,193.04,98.429464,g3,g6,g7,g12,11.2639755257468
Zach Strief,OT,Northwestern,5.38,53.34,19,238.76,8.01,4.83,2006,203.2,149.68536,g1,g4,g9,g10,-40.9295537748664
Quinn Sypniewski,TE,Colorado,4.77,82.55,20,289.56,7.09,4.52,2006,198.12,121.562656,g2,g5,g8,g11,-12.4116055754423
Darryl Tapp,DE,Virginia Tech,4.83,83.82,27,276.86,7.31,4.48,2006,187.96,114.305184,g2,g5,g8,g11,-2.91894977744775
Tony Tella,OG,Miami (FL),5.44,62.23,24,246.38,8.17,4.84,2006,193.04,139.252744,g1,g4,g9,g10,-28.3553916416314
David Thomas,TE,Texas,4.67,95.25,19,287.02,7.05,4.34,2006,190.5,114.305184,g2,g5,g8,g11,-3.53125296395179
Joe Toledo,OT,Washington,5.11,,32,,,,2006,195.58,152.860504,g1,g4,g9,g10,-42.1741505505948
Michael Toudouze,OT,TCU,5.12,67.31,23,254,7.45,4.7,2006,198.12,137.438376,g1,g4,g9,g10,-27.8191372516449
Anthony Trucks,OLB,Oregon,4.76,93.98,22,317.5,7,4.14,2006,185.42,105.686936,g2,g5,g8,g11,6.05744203328057
Jeremy Trueblood,OT,Boston Col.,5.25,69.85,20,243.84,7.82,4.68,2006,203.2,143.335072,g1,g4,g9,g10,-34.7665411043854
Stephen Tulloch,ILB,North Carolina State,4.84,85.09,27,287.02,7.19,4.15,2006,180.34,109.315672,g2,g5,g8,g11,3.76032688029949
Cameron Vaughn,OLB,LSU,4.65,81.28,17,297.18,7.24,4.22,2006,193.04,106.59412,g2,g5,g8,g11,3.34010209227116
John Walker,CB,USC,4.62,101.6,,317.5,,4.16,2006,182.88,92.98636,g3,g6,g7,g12,18.9957705607467
Delanie Walker,WR,Central Missouri State,4.49,92.71,,299.72,,,2006,185.42,108.86208,g3,g6,g7,g12,2.97593569804005
Cooper Wallace,TE,Auburn,4.78,73.66,21,266.7,7.29,4.21,2006,193.04,118.387512,g2,g5,g8,g11,-8.10549286719365
Scott Ware,S,USC,4.7,93.98,15,292.1,7.05,4.25,2006,185.42,98.883056,g3,g6,g7,g12,12.6606698945103
Leon Washington,RB,Florida State,4.42,82.55,17,266.7,6.94,4.37,2006,172.72,91.171992,g3,g6,g8,g11,23.2058440697575
Pat Watkins,S,Florida State,4.42,104.14,14,337.82,,,2006,195.58,95.707912,g3,g6,g7,g12,13.2929634837346
Todd Watkins,WR,BYU,4.4,91.44,15,299.72,7.13,4.24,2006,187.96,91.625584,g3,g6,g7,g12,19.0918097599846
Gabe Watson,DT,Michigan,5.27,63.5,36,243.84,8.28,4.8,2006,190.5,153.767688,g1,g4,g9,g10,-41.8299745590841
Dee Webb,CB,Florida,4.41,92.71,,307.34,,,2006,180.34,83.007336,g3,g6,g7,g12,29.292807943721
Jeff Webb,WR,San Diego State,4.4,93.98,,320.04,6.81,4.08,2006,187.96,95.707912,g3,g6,g7,g12,15.1298730432468
Stefon Wheeler,OT,Michigan State,5.73,49.53,,187.96,8.09,4.86,2006,195.58,153.767688,g1,g4,g9,g10,-43.0545809320921
Guy Whimper,OT,East Carolina,4.96,73.66,26,259.08,7.38,4.59,2006,195.58,137.891968,g1,g4,g9,g10,-27.6470492558895
LenDale White,RB,USC,4.49,,,,,,2006,182.88,107.954896,g3,g6,g8,g11,4.46866926604138
Terrence Whitehead,RB,Oregon,4.69,77.47,,274.32,7.21,4.27,2006,177.8,94.800728,g3,g6,g8,g11,18.4595161707602
E.J. Whitley,OT,UNLV,5.35,63.5,16,256.54,7.53,4.79,2006,195.58,140.159928,g1,g4,g9,g10,-29.8481252096328
Donte Whitner,S,Ohio State,4.4,101.6,18,335.28,,,2006,177.8,92.532768,g3,g6,g7,g12,20.6605921245034
Andrew Whitworth,OT,LSU,5.16,77.47,28,284.48,8.23,4.83,2006,200.66,151.499728,g1,g4,g9,g10,-42.078111351357
Gerris Wilkinson,ILB,Georgia Tech,4.66,99.06,19,309.88,7.21,4.17,2006,190.5,105.686936,g2,g5,g8,g11,4.83283566027249
T.J. Williams,TE,North Carolina State,4.72,86.36,25,281.94,7.49,4.54,2006,187.96,122.016248,g2,g5,g8,g11,-10.4026080201748
Brandon Williams,WR,Wisconsin,4.48,87.63,,292.1,6.87,4.07,2006,175.26,81.192968,g3,g6,g7,g12,32.2782750797237
DeAngelo Williams,RB,Memphis,4.45,90.17,25,307.34,,,2006,175.26,97.068688,g3,g6,g8,g11,16.870743403521
Demetrius Williams,WR,Oregon,4.52,96.52,,322.58,6.84,4.08,2006,187.96,89.357624,g3,g6,g7,g12,21.2928857137278
Jamar Williams,OLB,Arizona State,4.59,93.98,,304.8,7.03,4.29,2006,182.88,107.047712,g2,g5,g8,g11,5.34909964753867
Jimmy Williams,CB,Virginia Tech,4.44,,,,,,2006,187.96,96.615096,g3,g6,g7,g12,14.2494426617495
